xmin,ymin,xmax,ymax,confidence,class,name
533.5939331054688,609.3920288085938,955.4303588867188,728.0,0.8803390264511108,2,car
908.89306640625,367.4184265136719,1011.6400146484375,455.4128112792969,0.8637824058532715,2,car
403.21038818359375,381.48052978515625,569.0422973632812,514.2348022460938,0.8408195376396179,2,car
1196.3623046875,536.7708740234375,1265.6029052734375,708.1009521484375,0.8272786736488342,0,person
15.515138626098633,615.4569091796875,477.8711853027344,728.0,0.8039401173591614,2,car
400.6342468261719,141.62440490722656,513.7344970703125,280.2461242675781,0.7604008913040161,5,bus
440.5039978027344,506.0047302246094,649.3599243164062,681.3096313476562,0.7472861409187317,2,car
774.543212890625,534.4794921875,823.154541015625,633.9691162109375,0.7166045308113098,0,person
1034.894775390625,388.6258544921875,1314.1422119140625,610.3114013671875,0.6666995286941528,7,truck
524.7564697265625,167.089111328125,593.0723876953125,223.85968017578125,0.6471008062362671,2,car
255.990966796875,379.4794616699219,399.7295837402344,501.8902893066406,0.6386548280715942,2,car
78.1308822631836,456.9696044921875,131.01637268066406,605.8677368164062,0.6187231540679932,0,person
707.1187133789062,301.2212219238281,916.3508911132812,540.3341064453125,0.6053339838981628,5,bus
1024.269775390625,407.05352783203125,1111.92236328125,555.4971923828125,0.6037337779998779,2,car
694.0514526367188,210.95883178710938,794.4769897460938,292.5810546875,0.5817257165908813,2,car
0.0,581.2638549804688,42.29583740234375,727.9718017578125,0.5759430527687073,0,person
530.5830688476562,227.11935424804688,556.5894165039062,307.2701721191406,0.5446556210517883,0,person
50.057682037353516,401.7348937988281,91.08087921142578,515.037109375,0.48574838042259216,0,person
413.42803955078125,543.0922241210938,461.04345703125,673.8523559570312,0.4636651575565338,0,person
323.9128112792969,60.05375671386719,392.49365234375,121.51712036132812,0.4033552408218384,2,car
819.9412231445312,384.4662170410156,860.630859375,436.395263671875,0.3937414884567261,0,person
669.3447265625,212.37222290039062,718.4547119140625,285.21002197265625,0.3701413571834564,2,car
1045.4315185546875,392.4293518066406,1313.20751953125,609.0873413085938,0.36753010749816895,5,bus
383.91290283203125,19.756916046142578,428.8846740722656,55.73624801635742,0.36187392473220825,2,car
422.6701354980469,73.52371215820312,485.25390625,122.3929672241211,0.35966956615448,2,car
838.7156372070312,101.35990142822266,861.3975830078125,158.77134704589844,0.3507126271724701,9,traffic light
1030.2821044921875,353.6182556152344,1062.290771484375,442.91961669921875,0.3484858572483063,0,person
720.5298461914062,268.3468322753906,895.2833862304688,312.6971740722656,0.34461820125579834,2,car
236.72323608398438,316.6884460449219,347.27685546875,397.7904357910156,0.3346651494503021,2,car
172.25650024414062,499.192626953125,203.75721740722656,595.4231567382812,0.33408841490745544,0,person
135.12973022460938,502.4136657714844,171.89093017578125,597.845458984375,0.3264196217060089,0,person
738.3272705078125,318.8609619140625,903.4320068359375,525.9224853515625,0.3135393261909485,0,person
857.718505859375,380.2530822753906,898.53271484375,434.8113708496094,0.30474787950515747,0,person
401.4967346191406,223.0010986328125,433.7268371582031,304.45330810546875,0.30135953426361084,0,person
645.2584838867188,70.36662292480469,837.6066284179688,210.49063110351562,0.2932255268096924,5,bus
642.0339965820312,197.35386657714844,693.6758422851562,267.1495666503906,0.2927837669849396,2,car
402.9181213378906,146.1395263671875,515.90869140625,282.0049743652344,0.2893287241458893,7,truck
691.0439453125,371.66656494140625,732.0413818359375,499.608642578125,0.2770390808582306,0,person
2.1497106552124023,461.3592224121094,56.74078369140625,562.392333984375,0.25300782918930054,0,person
1082.056396484375,318.531982421875,1109.80712890625,405.11737060546875,0.25212374329566956,0,person
